year,asylum region,origin region,refugees
1960,Middle Africa,Middle Africa,150000.0
1961,Eastern Africa,Eastern Africa,94000.0
1961,Middle Africa,Middle Africa,150000.0
1961,Middle Africa,Eastern Africa,53000.0
1961,Western Africa,Western Africa,5000.0
1962,Eastern Africa,Eastern Africa,94000.0
1962,Middle Africa,Middle Africa,170000.0
1962,Middle Africa,Eastern Africa,53000.0
1962,Western Africa,Western Africa,5000.0
1963,Eastern Africa,Eastern Africa,100000.0
1963,Middle Africa,Middle Africa,175000.0
1963,Middle Africa,Eastern Africa,54000.0
1963,Middle Africa,Northern Africa,8000.0
1963,Western Africa,Western Africa,11000.0
1963,Eastern Africa,Northern Africa,5000.0
1964,Eastern Africa,Middle Africa,55700.0
1964,Eastern Africa,Eastern Africa,148300.0
1964,Middle Africa,Middle Africa,203000.0
1964,Middle Africa,Northern Africa,8300.0
1964,Middle Africa,Eastern Africa,28000.0
1964,Northern Africa,Southern Europe,100.0
1964,Northern Africa,Western Asia,170.0
1964,Northern Africa,Eastern Europe,120.0
1964,Eastern Asia,Eastern Asia,1200000.0
1964,Southern Asia,Eastern Asia,51000.0
1964,South-eastern Asia,South-eastern Asia,10000.0
1964,Western Africa,Western Africa,35000.0
1964,Eastern Africa,Northern Africa,12000.0
1965,Eastern Africa,Middle Africa,44000.0
1965,Eastern Africa,Eastern Africa,150900.0
1965,Middle Africa,Middle Africa,223000.0
1965,Middle Africa,Northern Africa,37560.0
1965,Middle Africa,Eastern Africa,25000.0
1965,Eastern Asia,Eastern Asia,1330000.0
1965,Southern Asia,Eastern Asia,52000.0
1965,South-eastern Asia,South-eastern Asia,15000.0
1965,Western Africa,Western Africa,55000.0
1965,Southern Europe,Southern Europe,22550.0
1965,Southern Europe,Eastern Europe,3270.0
1965,Eastern Africa,Northern Africa,44000.0
1966,Eastern Africa,Middle Africa,62600.0
1966,Eastern Africa,Eastern Africa,156700.0
1966,Southern Asia,Eastern Asia,55000.0
1966,Middle Africa,Middle Africa,316000.0
1966,Middle Africa,Northern Africa,60000.0
1966,Middle Africa,Eastern Africa,24100.0
1966,Southern Europe,Southern Europe,11950.0
1966,Eastern Asia,Eastern Asia,1323810.0
1966,South-eastern Asia,South-eastern Asia,17000.0
1966,Western Africa,Western Africa,61350.0
1966,Southern Europe,Eastern Europe,21240.0
1966,Eastern Africa,Northern Africa,55000.0
1966,Eastern Africa,Southern Africa,570.0
1967,Eastern Africa,Middle Africa,66920.0
1967,Eastern Africa,Eastern Africa,164180.0
1967,Middle Africa,Middle Africa,364000.0
1967,Middle Africa,Northern Africa,61000.0
1967,Middle Africa,Eastern Africa,24100.0
1967,Southern Europe,Southern Europe,27680.0
1967,Southern Asia,Eastern Asia,57180.0
1967,South-eastern Asia,South-eastern Asia,20000.0
1967,Eastern Asia,Eastern Asia,74000.0
1967,Northern Africa,Middle Africa,4400.0
1967,Northern Africa,Eastern Africa,28600.0
1967,Western Africa,Western Africa,59820.0
1967,Southern Europe,Eastern Europe,3270.0
1967,Eastern Africa,Northern Africa,59990.0
1967,Eastern Africa,Southern Africa,680.0
1968,Eastern Africa,Middle Africa,63260.0
1968,Eastern Africa,Eastern Africa,169890.0
1968,Southern Africa,Middle Africa,3460.0
1968,Southern Africa,Western Africa,120.0
1968,Southern Africa,Southern Africa,400.0
1968,Middle Africa,Middle Africa,375000.0
1968,Middle Africa,Northern Africa,84000.0
1968,Middle Africa,Eastern Africa,39100.0
1968,Western Asia,Western Asia,4100.0
1968,Eastern Africa,Northern Africa,91500.0
1968,Middle Africa,Western Africa,40000.0
1968,Southern Europe,Southern Europe,25940.0
1968,Southern Asia,Eastern Asia,62730.0
1968,South-eastern Asia,South-eastern Asia,22000.0
1968,Eastern Asia,Eastern Asia,70000.0
1968,Northern Africa,Middle Africa,7300.0
1968,Northern Africa,Eastern Africa,31000.0
1968,Western Africa,Western Africa,57150.0
1968,Southern Europe,Eastern Europe,3270.0
1968,Eastern Africa,Southern Africa,1670.0
1969,Eastern Africa,Middle Africa,53270.0
1969,Eastern Africa,Eastern Africa,164240.0
1969,Western Africa,Western Africa,71050.0
1969,Middle Africa,Middle Africa,403100.0
